Index,Title,Author,Year,URL,DOI,Journal,Type,Status,FilePath,Abstract
136,Adversarial attacks and defenses on text-to-image diffusion models: A survey,"Zhang, Chenyu and Hu, Mingwang and Li, Wenhui and Wang, Lanjun",2025,https://doi.org/10.1016/j.inffus.2024.102701,10.1016/j.inffus.2024.102701,Inf. Fusion,article,Failed,,
137,Multimodal Query Suggestion with Multi-Agent Reinforcement Learning from Human Feedback,"Wang, Zheng and Gan, Bingzheng and Shi, Wei",2024,https://doi.org/10.1145/3589334.3645365,10.1145/3589334.3645365,,inproceedings,Failed,,"In the rapidly evolving landscape of information retrieval, search engines strive to provide more personalized and relevant results to users. Query suggestion systems play a crucial role in achieving this goal by assisting users in formulating effective queries. However, existing query suggestion..."
138,List of Editorial Board Members,,2025,https://doi.org/10.1016/j.neunet.2024.107047,10.1016/j.neunet.2024.107047,Neural Netw.,article,Failed,,
139,Rigorous Engineering of Collective Adaptive Systems Introduction to the 5th Track Edition,"Wirsing, Martin and De Nicola, Rocco and J\""{a",2024,https://doi.org/10.1007/978-3-031-75107-3_1,10.1007/978-3-031-75107-3_1,,inproceedings,Failed,,"A collective adaptive system is made up of cooperating entities that can adjust in real time to evolving, open environments and shifting requirements. To ensure such a system meets its intended goals, rigorous engineering must employ suitable methods and tools. This introduction offers a short ov..."
141,Tool Learning with Foundation Models,"Qin, Yujia and Hu, Shengding and Lin, Yankai and Chen, Weize and Ding, Ning and Cui, Ganqu and Zeng, Zheni and Zhou, Xuanhe and Huang, Yufei and Xiao, Chaojun and Han, Chi and Fung, Yi Ren and Su, Yusheng and Wang, Huadong and Qian, Cheng and Tian, Runchu and Zhu, Kunlun and Liang, Shihao and Shen, Xingyu and Xu, Bokai and Zhang, Zhen and Ye, Yining and Li, Bowen and Tang, Ziwei and Yi, Jing and Zhu, Yuzhang and Dai, Zhenning and Yan, Lan and Cong, Xin and Lu, Yaxi and Zhao, Weilin and Huang, Yuxiang and Yan, Junxi and Han, Xu and Sun, Xian and Li, Dahai and Phang, Jason and Yang, Cheng and Wu, Tongshuang and Ji, Heng and Li, Guoliang and Liu, Zhiyuan and Sun, Maosong",2024,https://doi.org/10.1145/3704435,10.1145/3704435,ACM Comput. Surv.,article,Failed,,"Humans possess an extraordinary ability to create and utilize tools. With the advent of foundation models, artificial intelligence systems have the potential to be equally adept in tool use as humans. This paradigm, which is dubbed as tool learning with foundation models, combines the strengths o..."
141,Tool Learning with Foundation Models,"Qin, Yujia and Hu, Shengding and Lin, Yankai and Chen, Weize and Ding, Ning and Cui, Ganqu and Zeng, Zheni and Zhou, Xuanhe and Huang, Yufei and Xiao, Chaojun and Han, Chi and Fung, Yi Ren and Su, Yusheng and Wang, Huadong and Qian, Cheng and Tian, Runchu and Zhu, Kunlun and Liang, Shihao and Shen, Xingyu and Xu, Bokai and Zhang, Zhen and Ye, Yining and Li, Bowen and Tang, Ziwei and Yi, Jing and Zhu, Yuzhang and Dai, Zhenning and Yan, Lan and Cong, Xin and Lu, Yaxi and Zhao, Weilin and Huang, Yuxiang and Yan, Junxi and Han, Xu and Sun, Xian and Li, Dahai and Phang, Jason and Yang, Cheng and Wu, Tongshuang and Ji, Heng and Li, Guoliang and Liu, Zhiyuan and Sun, Maosong",2024,https://doi.org/10.1145/3704435,10.1145/3704435,ACM Comput. Surv.,article,Failed,,"Humans possess an extraordinary ability to create and utilize tools. With the advent of foundation models, artificial intelligence systems have the potential to be equally adept in tool use as humans. This paradigm, which is dubbed as tool learning with foundation models, combines the strengths o..."
142,ChatLsc: Agents for Live Streaming Commerce,"Dai, Chengjie and Fang, Ke and Hua, Pufeng and Chan, Wai Kin (Victor)",2024,https://doi.org/10.1007/978-3-031-60611-3_25,10.1007/978-3-031-60611-3_25,,inproceedings,Unknown,,"Live-streaming commerce refers to a form of e-commerce that uses live streaming as a channel to achieve marketing objectives, a product of the bidirectional integration of live streaming and commerce in the digital era. However, utilizing large language models for sales in live-streaming commerce..."
143,CompeteAI: understanding the competition dynamics of large language model-based agents,"Zhao, Qinlin and Wang, Jindong and Zhang, Yixuan and Jin, Yiqiao and Zhu, Kaijie and Chen, Hao and Xie, Xing",2024,,,,inproceedings,Failed,,"Large language models (LLMs) have been widely used as agents to complete different tasks, such as personal assistance or event planning. While most of the work has focused on cooperation and collaboration between agents, little work explores competition, another important mechanism that promotes ..."
144,Big-IDS: a decentralized multi agent reinforcement learning approach for distributed intrusion detection in big data networks,"Louati, Faten and Ktata, Farah Barika and Amous, Ikram",2024,https://doi.org/10.1007/s10586-024-04306-9,10.1007/s10586-024-04306-9,Cluster Computing,article,Failed,,"The growing complexity of security threats and the pervasive prevalence of cyberattacks have become more apparent in the present era, and the advent of big data, characterized by its distinctive features, has introduced layers of complexity to security tasks. Intrusion Detection Systems (IDSs) co..."
145,Reinforced Prompt Personalization for Recommendation with Large Language Models,"Mao, Wenyu and Wu, Jiancan and Chen, Weijian and Gao, Chongming and Wang, Xiang and He, Xiangnan",2025,https://doi.org/10.1145/3716320,10.1145/3716320,ACM Trans. Inf. Syst.,article,Failed,,"Designing effective prompts can empower LLMs to understand user preferences and provide recommendations with intent comprehension and knowledge utilization capabilities. Nevertheless, recent studies predominantly concentrate on task-wise prompting, developing fixed prompt templates shared across ..."
146,Hierarchical Large Language Models in Cloud-Edge-End Architecture for Heterogeneous Robot Cluster Control,"Luan, Zhirong and Lai, Yujun and Huang, Rundong and Yan, Yan and Wang, Jingwei and Lu, Jizhou and Chen, Badong",2024,https://doi.org/10.1145/3640771.3643717,10.1145/3640771.3643717,,inproceedings,Failed,,"Despite their powerful semantic understanding and code generation capabilities, Large Language Models (LLMs) still face challenges when dealing with complex tasks. Multi-agent strategy generation and motion control are highly complex domains that inherently require experts from multiple fields to..."
147,Retrieval-Augmented Generation Powered by a Multi-agent System to Assisted the Operation of Industries,"Oliveira, Francisco and Gomes, Luis and Vale, Zita",2024,https://doi.org/10.1007/978-3-031-70415-4_18,10.1007/978-3-031-70415-4_18,,inproceedings,Failed,,"The introduction of large language models in recent years transformed the use of artificial intelligence in our daily life, making it available to common users and allowing them to interact with natural language processing machines. However, the common and general knowledge of large language mode..."
148,Position: intent-aligned AI systems must optimize for agency preservation,"Mitelut, Catalin and Smith, Ben and Vamplew, Peter",2024,,,,inproceedings,Failed,,A central approach to AI-safety research has been to generate aligned AI systems: i.e. systems that do not deceive users and yield actions or recommendations that humans might judge as consistent with their intentions and goals. Here we argue that truthful AIs aligned solely to human intent are i...
149,A Multi-agent System Approach with Generative AI for Improved Elderly Daily Living,"Crista, V\'{\i",2024,https://doi.org/10.1007/978-3-031-73497-7_11,10.1007/978-3-031-73497-7_11,,inproceedings,Failed,,"As the world population grows older, the demographic issue of aging becomes more prevalent in society, as this group starts facing increasing physical and psychological challenges throughout their daily lives. Older adults often experience a decline in mobility and increased distance from others,..."
150,Rethinking Software Engineering in the Era of Foundation Models: A Curated Catalogue of Challenges in the Development of Trustworthy FMware,"Hassan, Ahmed E. and Lin, Dayi and Rajbahadur, Gopi Krishnan and Gallaba, Keheliya and Cogo, Filipe Roseiro and Chen, Boyuan and Zhang, Haoxiang and Thangarajah, Kishanthan and Oliva, Gustavo and Lin, Jiahuei (Justina) and Abdullah, Wali Mohammad and Jiang, Zhen Ming (Jack)",2024,https://doi.org/10.1145/3663529.3663849,10.1145/3663529.3663849,,inproceedings,Failed,,"Foundation models (FMs), such as Large Language Models (LLMs), have revolutionized software development by enabling new use cases and business models. We refer to software built using FMs as FMware. The unique properties of FMware (e.g., prompts, agents and the need for orchestration), coupled wi..."
151,Sample-efficient robust multi-agent reinforcement learning in the face of environmental uncertainty,"Shi, Laixi and Mazumdar, Eric and Chi, Yuejie and Wierman, Adam",2024,,,,inproceedings,Failed,,"To overcome the sim-to-real gap in reinforcement learning (RL), learned policies must maintain robustness against environmental uncertainties. While robust RL has been widely studied in single-agent regimes, in multi-agent environments, the problem remains understudied-- despite the fact that the..."
152,The Cognitive Hourglass: Agent Abstractions in the Large Models Era,"Ricci, Alessandro and Mariani, Stefano and Zambonelli, Franco and Burattini, Samuele and Castelfranchi, Cristiano",2024,,,,inproceedings,Failed,,"Recent advances in AI are driving an unprecedented and fast-paced development of myriads of powerful agent tools and applications, mostly based on generative AI technologies such as Large Language/Multi-modal/Agent Models. However, despite many proposals in that direction, the lack of a sound set..."
153,Unity Is Strength: Collaborative LLM-Based Agents for Code Reviewer Recommendation,"Wang, Luqiao and Zhou, Yangtao and Zhuang, Huiying and Li, Qingshan and Cui, Di and Zhao, Yutong and Wang, Lu",2024,https://doi.org/10.1145/3691620.3695291,10.1145/3691620.3695291,,inproceedings,Failed,,"Assigning pull requests to appropriate code reviewers can accelerate the review process and help uncover potential bugs. However, the inherent complexities in pull requests and code reviewers present challenges in making suitable matches between them. Prior studies focus on mining rich semantic i..."
154,How to Efficiently Manage Critical Infrastructure Vulnerabilities? Toward Large Code-graph Models,"Zhang, Hongying and Li, Gaolei and Li, Shenghong and Liu, Hongfu and Wang, Shuo and Li, Jianhua",2024,https://doi.org/10.1145/3689217.3690622,10.1145/3689217.3690622,,inproceedings,Failed,,"Critical infrastructure vulnerabilities, once maliciously manipulated, may cause serious security accidents. However, existing methods are always unable to discover, assess, block and repair those unknown/known vulnerabilities in a timely and effective manner. This article explores the potential ..."
155,Comp-HuSim: Persistent Digital Personality Simulation Platform,"Fan, Chengyu and Tariq, Zaynab and Saadiq Bhuiyan, Nafis and Yankoski, Michael G and Ford, Trenton W",2024,https://doi.org/10.1145/3631700.3664883,10.1145/3631700.3664883,,inproceedings,Failed,,"Comp-HuSim (Complex Human Simulations) is a multi-agent persona simulation platform powered by generative AI models (GPT-3.5 turbo, GPT 4 turbo, and Mixtral(8\texttimes{"
156,HCMA'24: Proceedings of the 5th International Workshop on Human-centric Multimedia Analysis,,2024,,,,proceedings,Failed,,It is our great pleasure to welcome you to the 5th International Workshop on Human-Centric Multimedia Analysis -- HCMA 2024. This year's workshop continues its tradition of being the premier forum for presentation of research results and experience reports on leading edge issues of human-centric ...
157,AIMLSystems '24: Proceedings of the 4th International Conference on AI-ML Systems,,2024,,,,proceedings,Failed,,
158,Privacy dilemmas and opportunities in large language models: a brief review,"Li, Hongyi and Ye, Jiawei and Wu, Jie",2025,https://doi.org/10.1007/s11704-024-40583-8,10.1007/s11704-024-40583-8,Front. Comput. Sci.,article,Unknown,,"The growing number of cases indicates that large language model (LLM) brings transformative advancements while raising privacy concerns. Despite promising recent surveys proposed in the literature, there is still a lack of comprehensive analysis dedicated to text privacy specifically for LLM. By ..."
159,Spectrum-Energy-Efficient Mode Selection and Resource Allocation for Heterogeneous V2X Networks: A Federated Multi-Agent Deep Reinforcement Learning Approach,"Gui, Jinsong and Lin, Liyan and Deng, Xiaoheng and Cai, Lin",2024,https://doi.org/10.1109/TNET.2024.3364161,10.1109/TNET.2024.3364161,IEEE/ACM Trans. Netw.,article,Failed,,"Heterogeneous communication environments and broadcast feature of safety-critical messages bring great challenges to mode selection and resource allocation problem. In this paper, we propose a federated multi-agent deep reinforcement learning (DRL) scheme with action awareness to solve mode selec..."
160,CoBjeason: Reasoning Covered Object in Image by Multi-Agent Collaboration Based on Informed Knowledge Graph,"Rong, Huan and Qian, Minfeng and Ma, Tinghuai and Jin, Di and Sheng, Victor S.",2024,https://doi.org/10.1145/3643565,10.1145/3643565,ACM Trans. Knowl. Discov. Data,article,Failed,,"Object detection is a widely studied problem in existing works. However, in this paper, we turn to a more challenging problem of “Covered Object Reasoning”, aimed at reasoning the category label of target object in the given image particularly when it has been totally covered (or invisible). To r..."
161,"Benchmarking Large Language Models for Multi-agent Systems: A Comparative Analysis of AutoGen, CrewAI, and TaskWeaver","Barbarroxa, Rafael and Gomes, Luis and Vale, Zita",2024,https://doi.org/10.1007/978-3-031-70415-4_4,10.1007/978-3-031-70415-4_4,,inproceedings,Failed,,"This paper presents the benchmarking of three multi-agent systems powered by large language models. The paper presents a comparative analysis of AutoGen, CrewAI, and TaskWeaver. Nowadays, large language models have emerged as powerful tools able to assist users in various areas. The integration o..."
839,Front Matter,,2024,,,,inproceedings,Failed,,
163,LLMs for knowledge graph construction and reasoning: recent capabilities and future opportunities,"Zhu, Yuqi and Wang, Xiaohan and Chen, Jing and Qiao, Shuofei and Ou, Yixin and Yao, Yunzhi and Deng, Shumin and Chen, Huajun and Zhang, Ningyu",2024,https://doi.org/10.1007/s11280-024-01297-w,10.1007/s11280-024-01297-w,World Wide Web,article,Unknown,,"This paper presents an exhaustive quantitative and qualitative evaluation of Large Language Models (LLMs) for Knowledge Graph (KG) construction and reasoning. We engage in experiments across eight diverse datasets, focusing on four representative tasks encompassing entity and relation extraction,..."
164,HAI '24: Proceedings of the 12th International Conference on Human-Agent Interaction,,2024,,,,proceedings,Failed,,
165,On the prospects of incorporating large language models (LLMs) in automated planning and scheduling (APS),"Pallagani, Vishal and Muppasani, Bharath Chandra and Roy, Kaushik and Fabiano, Francesco and Loreggia, Andrea and Murugesan, Keerthiram and Srivastava, Biplav and Rossi, Francesca and Horesh, Lior and Sheth, Amit",2024,https://doi.org/10.1609/icaps.v34i1.31503,10.1609/icaps.v34i1.31503,,inproceedings,Failed,,"Automated Planning and Scheduling is among the growing areas in Artificial Intelligence (AI) where mention of LLMs has gained popularity. Based on a comprehensive review of 126 papers, this paper investigates eight categories based on the unique applications of LLMs in addressing various aspects ..."
166,Graph neural networks for job shop scheduling problems: A survey,"Smit, Igor G. and Zhou, Jianan and Reijnen, Robbert and Wu, Yaoxin and Chen, Jian and Zhang, Cong and Bukhsh, Zaharah and Zhang, Yingqian and Nuijten, Wim",2025,https://doi.org/10.1016/j.cor.2024.106914,10.1016/j.cor.2024.106914,Comput. Oper. Res.,article,Failed,,
167,ICAIF '24: Proceedings of the 5th ACM International Conference on AI in Finance,,2024,,,,proceedings,Failed,,
168,Proactive Conversational AI: A Comprehensive Survey of Advancements and Opportunities,"Deng, Yang and Liao, Lizi and Lei, Wenqiang and Yang, Grace Hui and Lam, Wai and Chua, Tat-Seng",2025,https://doi.org/10.1145/3715097,10.1145/3715097,ACM Trans. Inf. Syst.,article,Failed,,"Dialogue systems are designed to offer human users social support or functional services through natural language interactions. Traditional conversation research has put significant emphasis on a system’s response-ability, including its capacity to understand dialogue context and generate appropr..."
169,Sustainable Digitalization of Business with Multi-Agent RAG and LLM,"Arslan, Muhammad and Munawar, Saba and Cruz, Christophe",2024,https://doi.org/10.1016/j.procs.2024.09.337,10.1016/j.procs.2024.09.337,Procedia Comput. Sci.,article,Failed,,
170,AI-Oracle Machines for Intelligent Computing,"Wang, Jie",2025,https://doi.org/10.1145/3708816.3708819,10.1145/3708816.3708819,AI Matters,article,Failed,,"We introduce the concept of AI-oracle machines for intelligent computing and outline several applications to demonstrate their potential. Following this, we advocate for the development of a comprehensive platform to streamline the implementation of AI-oracle machines."
839,Front Matter,,2024,,,,inproceedings,Failed,,
172,A Tutorial on Software Engineering for FMware,"Cogo, Filipe Roseiro and Rajbahadur, Gopi Krishnan and Lin, Dayi and Hassan, Ahmed E.",2024,https://doi.org/10.1145/3663529.3663820,10.1145/3663529.3663820,,inproceedings,Failed,,"Foundation Models (FMs) like GPT-4 have given rise to FMware, FM-powered applications representing a new generation of software that is developed with new roles, assets, and paradigms. FMware has been widely adopted in both software engineering (SE) research (e.g., test generation) and industrial..."
173,AI Agent for Information Retrieval: Generating and Ranking,"Zhang, Yongfeng and Liu, Zhiwei and Wen, Qingsong and Pang, Linsey and Liu, Wei and Yu, Philip S.",2024,https://doi.org/10.1145/3627673.3680120,10.1145/3627673.3680120,,inproceedings,Failed,,"The field of information retrieval has significantly transformed with the integration of AI technologies. AI agents, especially those leveraging LLMs and vast computational power, have revolutionized information retrieval, processing, and presentation. LLM agents, with advanced memory, reasoning,..."
174,A Conceptual Framework for Quality Assurance of LLM-based Socio-critical Systems,"Baresi, Luciano and Camilli, Matteo and Dolci, Tommaso and Quattrocchi, Giovanni",2024,https://doi.org/10.1145/3691620.3695306,10.1145/3691620.3695306,,inproceedings,Failed,,"Recent breakthroughs in Artificial Intelligence (AI) obfuscate the boundaries between digital, physical, and social spaces, a trend expected to continue in the foreseeable future. Traditionally, software engineering has prioritized technical aspects, focusing on functional correctness and reliabi..."
175,LLM-Vectorizer: LLM-Based Verified Loop Vectorizer,"Taneja, Jubi and Laird, Avery and Yan, Cong and Musuvathi, Madan and Lahiri, Shuvendu K.",2025,https://doi.org/10.1145/3696443.3708929,10.1145/3696443.3708929,,inproceedings,Failed,,"Vectorization is a powerful optimization technique that significantly boosts the performance of high performance computing applications operating on large data arrays. Despite decades of research on auto-vectorization, compilers frequently miss opportunities to vectorize code. On the other hand, ..."
176,"A survey on Deep Learning in Edge–Cloud Collaboration: Model partitioning, privacy preservation, and prospects","Zhang, Xichen and Razavi-Far, Roozbeh and Isah, Haruna and David, Amir and Higgins, Griffin and Zhang, Michael",2025,https://doi.org/10.1016/j.knosys.2025.112965,10.1016/j.knosys.2025.112965,Know.-Based Syst.,article,Failed,,
177,MobiArch '24: Proceedings of the 19th Workshop on Mobility in the Evolving Internet Architecture,,2024,,,,proceedings,Failed,,
178,GPT4Video: A Unified Multimodal Large Language Model for lnstruction-Followed Understanding and Safety-Aware Generation,"Wang, Zhanyu and Wang, Longyue and Zhao, Zhen and Wu, Minghao and Lyu, Chenyang and Li, Huayang and Cai, Deng and Zhou, Luping and Shi, Shuming and Tu, Zhaopeng",2024,https://doi.org/10.1145/3664647.3681464,10.1145/3664647.3681464,,inproceedings,Failed,,"Recent advances in Multimodal Large Language Models (MLLMs) have constituted a significant leap forward in the field, particularly in the processing of videos, which encompasses inherent challenges such as spatiotemporal relationships. However, existing MLLMs are predominantly focused on the comp..."
179,Technical Brief on Software Engineering for FMware,"Lin, Dayi and Cogo, Filipe Roseiro and Rajbahadur, Gopi Krishnan and Hassan, Ahmed E.",2024,https://doi.org/10.1145/3639478.3643062,10.1145/3639478.3643062,,inproceedings,Failed,,"Foundation Models (FM) like GPT-4 have given rise to FMware, FM-powered applications, which represent a new generation of software that is developed with new roles, assets, and paradigms. FMware has been widely adopted in both software engineering (SE) research (e.g., test generation) and industr..."
180,VisionTrap: Vision-Augmented Trajectory Prediction Guided by Textual Descriptions,"Moon, Seokha and Woo, Hyun and Park, Hongbeen and Jung, Haeji and Mahjourian, Reza and Chi, Hyung-gun and Lim, Hyerin and Kim, Sangpil and Kim, Jinkyu",2024,https://doi.org/10.1007/978-3-031-72658-3_21,10.1007/978-3-031-72658-3_21,,inproceedings,Unknown,,"Predicting future trajectories for other road agents is an essential task for autonomous vehicles. Established trajectory prediction methods primarily use agent tracks generated by a detection and tracking system and HD map as inputs. In this work, we propose a novel method that also incorporates..."
181,Towards Citizen-Centric Multiagent Systems Based on Large Language Models,"Li, Zhaoxing and Yazdanpanah, Vahid and Sarkadi, Stefan and He, Yulan and Shafipour, Elnaz and Stein, Sebastian",2024,https://doi.org/10.1145/3677525.3678636,10.1145/3677525.3678636,,inproceedings,Failed,,"The rapid evolution of Large Language Models (LLMs), exemplified by GPT-4, has ushered in a transformative era in artificial intelligence (AI). This paper introduces the concept of Citizen-Centric Multiagent Systems based on Large Language Models (C-LLMAS) and advocates for LLMs as pivotal techno..."
182,Introduction to the Special Issue on Trustworthy Recommender Systems,"Schedl, Markus and Deldjoo, Yashar and Castells, Pablo and Yilmaz, Emine",2024,https://doi.org/10.1145/3702249,10.1145/3702249,ACM Trans. Recomm. Syst.,article,Failed,,"This editorial introduces the Special Issue on Trustworthy Recommender Systems, hosted by the ACM Transactions on Recommender Systems in 2024. We provide an overview on the multifaceted aspects of trustworthiness and point to recent regulations that underline the importance of the topic, also bey..."
183,ContractTinker: LLM-Empowered Vulnerability Repair for Real-World Smart Contracts,"Wang, Che and Zhang, Jiashuo and Gao, Jianbo and Xia, Libin and Guan, Zhi and Chen, Zhong",2024,https://doi.org/10.1145/3691620.3695349,10.1145/3691620.3695349,,inproceedings,Failed,,"Smart contracts are susceptible to being exploited by attackers, especially when facing real-world vulnerabilities. To mitigate this risk, developers often rely on third-party audit services to identify potential vulnerabilities before project deployment. Nevertheless, repairing the identified vu..."
184,LAMPS '24: Proceedings of the 1st ACM Workshop on Large AI Systems and Models with Privacy and Safety Analysis,,2024,,,,proceedings,Failed,,"This volume contains papers presented at the 1st ACM Workshop on Large AI Systems and Models with Privacy and Safety Analysis (LAMPS), which was held on October 14, 2024, in Salt Lake City, USA.This year we received 18 paper submissions from Australia, China, Italy, Luxembourg, Singapore, South K..."
185,A Conversational Assistant Framework for Automation,"Duesterwald, Evelyn and Isahagian, Vatche and Jayaram, K. R. and Kumar, Ritesh and Muthusamy, Vinod and Oum, Punleuk and Thomas, Gegi and Venkateswaran, Praveen",2024,https://doi.org/10.1145/3700824.3701093,10.1145/3700824.3701093,,inproceedings,Failed,,This paper describes the design and implementation of an AI-enabled conversational assistant to enhance the efficacy of Business Process Automation (BPA) tools in the context of IBM's watsonx Orchestrate platform. It leverages the capabilities of large language models (LLMs) to interpret natural ...
186,Pragmatic Instruction Following and Goal Assistance via Cooperative Language-Guided Inverse Planning,"Zhi-Xuan, Tan and Ying, Lance and Mansinghka, Vikash and Tenenbaum, Joshua B.",2024,,,,inproceedings,Failed,,"People often give instructions whose meaning is ambiguous without further context, expecting that their actions or goals will disambiguate their intentions. How can we build assistive agents that follow such instructions in a flexible, context-sensitive manner? This paper introduces cooperative l..."
187,COSIS: An AI-Enabled Digital Transformation Framework Integrating Large Language Models and Key Performance Indicators,"Zhang, Liang-Jie and Chen, Huan and He, Sheng and Li, Changhu and Chen, Junyang and Zhang, Haodi and Du, Wenfeng",2024,https://doi.org/10.1007/978-3-031-77000-5_6,10.1007/978-3-031-77000-5_6,,inproceedings,Failed,,"The rapid advancement of Artificial Intelligence (AI) and Large Language Models (LLMs) has significantly transformed various sectors of society, compelling enterprises to undertake comprehensive digital transformations to remain competitive in the AI era. This paper introduces COSIS, an AI-enable..."
188,Demonstration of DB-GPT: Next Generation Data Interaction System Empowered by Large Language Models,"Xue, Siqiao and Qi, Danrui and Jiang, Caigao and Cheng, Fangyin and Chen, Keting and Zhang, Zhiping and Zhang, Hongyang and Wei, Ganglin and Zhao, Wang and Zhou, Fan and Yi, Hong and Liu, Shaodong and Yang, Hongjun and Chen, Faqiang",2024,https://doi.org/10.14778/3685800.3685876,10.14778/3685800.3685876,Proc. VLDB Endow.,article,Failed,,"The recent breakthroughs in large language models (LLMs) are positioned to transition many areas of software. In this paper, we present DB-GPT, a revolutionary and product-ready Python library that integrates LLMs into traditional data interaction tasks to enhance user experience and accessibilit..."
189,"Leveraging pervasive computing for ambient intelligence: A survey on recent advancements, applications and open challenges","Bimpas, Athanasios and Violos, John and Leivadeas, Aris and Varlamis, Iraklis",2024,https://doi.org/10.1016/j.comnet.2023.110156,10.1016/j.comnet.2023.110156,Comput. Netw.,article,Failed,,
190,From words to actions: unveiling the theoretical underpinnings of LLM-driven autonomous systems,"He, Jianliang and Chen, Siyu and Zhang, Fengzhuo and Yang, Zhuoran",2024,,,,inproceedings,Failed,,"In this work, from a theoretical lens, we aim to understand why large language model (LLM) empowered agents are able to solve decision-making problems in the physical world. To this end, consider a hierarchical reinforcement learning (RL) model where the LLM Planner and the Actor perform high-lev..."
191,MCRanker: Generating Diverse Criteria On-the-Fly to Improve Pointwise LLM Rankers,"Guo, Fang and Li, Wenyu and Zhuang, Honglei and Luo, Yun and Li, Yafu and Yan, Le and Zhu, Qi and Zhang, Yue",2025,https://doi.org/10.1145/3701551.3703583,10.1145/3701551.3703583,,inproceedings,Failed,,"The most recent pointwise Large Language Model (LLM) rankers have achieved remarkable ranking results. However, these rankers are hindered by two major drawbacks: (1) they fail to follow a standardized comparison guidance during the ranking process, and (2) they struggle with comprehensive consid..."
192,Towards smart product-service systems 2.0: A retrospect and prospect,"Ren, Mengyang and Zheng, Pai",2024,https://doi.org/10.1016/j.aei.2024.102466,10.1016/j.aei.2024.102466,Adv. Eng. Inform.,article,Failed,,
193,"Reinforcement learning and bandits for speech and language processing: Tutorial, review and outlook","Lin, Baihan",2024,https://doi.org/10.1016/j.eswa.2023.122254,10.1016/j.eswa.2023.122254,Expert Syst. Appl.,article,Failed,,
194,SPARKIT: A Mind Map-Based MAS for Idea Generation Support,"Ishizaka, Masaki and Taya, Akihito and Tobe, Yoshito",2024,https://doi.org/10.1007/978-3-031-71152-7_1,10.1007/978-3-031-71152-7_1,,inproceedings,Failed,,"Innovative solutions to societal challenges require the generation of creative ideas. Collaboration between humans and multi-agent systems (MAS) is a promising approach for idea generation, yet fostering creative discussions remains a challenge. This paper proposes Synergistic Platform for Advanc..."
195,Self-Collaboration Code Generation via ChatGPT,"Dong, Yihong and Jiang, Xue and Jin, Zhi and Li, Ge",2024,https://doi.org/10.1145/3672459,10.1145/3672459,ACM Trans. Softw. Eng. Methodol.,article,Failed,,"Although large language models (LLMs) have demonstrated remarkable code-generation ability, they still struggle with complex tasks. In real-world software development, humans usually tackle complex tasks through collaborative teamwork, a strategy that significantly controls development complexity..."
196,Exploring the Mutual Adaptation of Large Language Models and Emergent Decision-Making in Simulated Small Group Interactions,"Shiiku, Shota and Takeuchi, Yugo",2024,https://doi.org/10.1145/3687272.3688317,10.1145/3687272.3688317,,inproceedings,Failed,,"As Large Language Model (LLM) become more prevalent and capable, opportunities for influencing human decision-making are increasing. We engage in small groups, and complex and emergent interactions, such as compromises by members and proposals of new ideas, may occur. However, these creative aspe..."
197,Large sequence models for sequential decision-making: a survey,"Wen, Muning and Lin, Runji and Wang, Hanjing and Yang, Yaodong and Wen, Ying and Mai, Luo and Wang, Jun and Zhang, Haifeng and Zhang, Weinan",2023,https://doi.org/10.1007/s11704-023-2689-5,10.1007/s11704-023-2689-5,Front. Comput. Sci.,article,Unknown,,"Transformer architectures have facilitated the development of large-scale and general-purpose sequence models for prediction tasks in natural language processing and computer vision, e.g., GPT-3 and Swin Transformer. Although originally designed for prediction problems, it is natural to inquire a..."
198,Legally-Guided Automated Decision-Making System Using Language Model Agents for Autonomous Driving,"Wang, Ya and Barta, Daniel and Hesse, Julian and Buchwald, Philip and Paschke, Adrian",2024,https://doi.org/10.1007/978-3-031-72407-7_17,10.1007/978-3-031-72407-7_17,,inproceedings,Failed,,"Recent advances in language models have facilitated the development of agent-based systems. Despite their encouraging results in various reasoning tasks, these systems often operate as “black boxes”, raising concerns about potential illegal behavior due to opaque decision-making processes. This c..."
199,IUI '25: Proceedings of the 30th International Conference on Intelligent User Interfaces,,2025,,,,proceedings,Failed,,
200,Adaptive Planning on the Web: Using LLMs and Affordances for Web Agents,"Schmid, Sebastian and Freund, Michael and Harth, Andreas",2025,https://doi.org/10.1007/978-3-031-81221-7_7,10.1007/978-3-031-81221-7_7,,inproceedings,Failed,,"We investigate the adaption of agents using plans on the Web despite its large and dynamic nature, as well as agents’ constrained perception. Based on Semantic Web technologies and affordances, we compare how agents choose appropriate actions to adapt to their environment by condition-action rule..."
839,Front Matter,,2024,,,,inproceedings,Failed,,
202,Spatial–temporal graph neural network traffic prediction based load balancing with reinforcement learning in cellular networks,"Liu, Shang and He, Miao and Wu, Zhiqiang and Lu, Peng and Gu, Weixi",2024,https://doi.org/10.1016/j.inffus.2023.102079,10.1016/j.inffus.2023.102079,Inf. Fusion,article,Failed,,
203,Generative artificial intelligence in smart manufacturing,"Kusiak, Andrew",2024,https://doi.org/10.1007/s10845-024-02480-6,10.1007/s10845-024-02480-6,J. Intell. Manuf.,article,Success,papers/Generative artificial intelligence in smart manufacturing_2024.pdf,
